Timestamp,Fiscal Year,Date,Event Type,Source URL,Bill Name (if applicable),Input note for the FY
10/29/2025 15:22:57,2021,02/10/2020,President's Budget Delivered to Congress,https://www.govinfo.gov/content/pkg/BUDGET-2021-BUD/pdf/BUDGET-2021-BUD.pdf,,"""DoD started FY21 under a CR and continued with five additional CRs before the Consolidated Appropriations Act became Law in December"""
10/29/2025 15:23:21,2021,10/01/2020,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2021,H.R. 8319,
10/29/2025 15:23:35,2021,12/11/2020,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2021,H.R. 8900,
10/29/2025 15:23:52,2021,12/18/2020,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2021,H.J. Res 107,
10/29/2025 15:24:17,2021,12/20/2020,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2021,H.J. Res 110,
10/29/2025 15:24:31,2021,12/22/2020,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2021,H.R. 1520,
10/29/2025 15:25:05,2021,12/27/2020,Appropriation,https://www.congress.gov/crs-appropriations-status-table/2021,H.R. 133,
10/29/2025 15:25:28,2022,05/28/2021,President's Budget Delivered to Congress,https://www.govinfo.gov/content/pkg/BUDGET-2022-BUD/pdf/BUDGET-2022-BUD.pdf,,"""DoD started FY22 under a CR and continued with four additional CRs before the Consolidated Appropriations Act became Law in March"""
10/29/2025 15:25:43,2022,09/30/2021,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2022,H.R. 5305,
10/29/2025 15:26:07,2022,12/03/2021,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2022,H.R. 6119,
10/29/2025 15:26:29,2022,02/18/2022,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2022,H.R. 6617,
10/29/2025 15:26:47,2022,03/11/2022,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2022,H.J. Res 75,
10/29/2025 15:27:02,2022,03/15/2022,Appropriation,https://www.congress.gov/crs-appropriations-status-table/2022,H.R. 2471,
10/29/2025 15:27:24,2023,03/28/2022,President's Budget Delivered to Congress,https://www.govinfo.gov/app/collection/budget/2023,,"""DoD started FY23 under a CR and continued with three additional CRs before the Consolidated Appropriations Act became Law in December"""
10/29/2025 15:27:41,2023,09/30/2022,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2023,H.R. 6833,
10/29/2025 15:28:01,2023,12/16/2022,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2023,H.R. 1487,
10/29/2025 15:28:19,2023,12/23/2022,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2023,H.R. 2617,
10/29/2025 15:28:33,2023,12/29/2022,Appropriation,https://www.congress.gov/crs-appropriations-status-table/2023,H.R. 2617,
10/29/2025 15:28:52,2024,03/09/2023,President's Budget Delivered to Congress,https://www.govinfo.gov/content/pkg/BUDGET-2024-BUD/pdf/BUDGET-2024-BUD.pdf,,"""DoD started FY24 under a CR and continued with four additional CRs before the Consolidated Appropriations Act became Law in December"""
10/29/2025 15:29:17,2024,09/30/2023,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2024,H.R. 5860,
10/29/2025 15:29:48,2024,11/16/2023,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2024,H.R. 6363,
10/29/2025 15:30:13,2024,01/19/2024,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2024,H.R. 2782,
10/29/2025 15:30:32,2024,03/01/2024,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2024,H.R. 7463,
10/29/2025 15:30:59,2024,03/23/2024,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2024,H.R. 2882,
10/29/2025 15:31:29,2025,03/11/2024,President's Budget Delivered to Congress,https://www.govinfo.gov/content/pkg/BUDGET-2025-BUD/pdf/BUDGET-2025-BUD.pdf,,"""DoD's FY25 budget was funded by two short-term CRs and a third full-year CR"""
10/29/2025 15:31:47,2025,09/26/2024,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2025,H.R. 9747,
10/29/2025 15:32:07,2025,12/21/2024,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2025,H.R. 10545,
10/29/2025 15:32:23,2025,03/15/2025,Full-Year Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2025,H.R. 1968,
10/29/2025 15:33:45,2026,05/02/2025,President's Budget Delivered to Congress,https://www.govinfo.gov/content/pkg/BUDGET-2026-BUD/pdf/BUDGET-2026-BUD.pdf,,"""DOD started FY2026 under a shutdown. The government remains shutdown at the time data collection"""
10/29/2025 15:34:35,2025,10/01/2025,Government Shutdown,https://www.cbsnews.com/live-updates/government-shutdown-latest-snap-benefits-impasse/,,
11/3/2025 17:57:17,2011,04/14/2011,Full-Year Continuing Resolution,https://www.congress.gov/bill/112th-congress/house-bill/1473,H.R. 1473,
